bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,Pub_Month,Pub_Day,Pub_Year,publisher
16543,Dayworld (Dayworld #1),Philip José Farmer,3.64,441140017,9.78E+12,eng,258,1315,68,3,1,1986,AceBooks
15445,Vision of Tarot (Tarot  #2),Piers Anthony,3.47,441864619,9.78E+12,en-US,260,1485,13,7,15,1987,AceBooks
21609,A Separate War and Other Stories,Joe Haldeman,3.68,441014070,9.78E+12,en-US,270,342,35,8,1,2006,AceBooks
19822,Solstice Wood (Winter Rose  #2),Patricia A. McKillip,3.76,441014658,9.78E+12,eng,278,1715,141,1,2,2007,AceBooks
26573,The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #1),Richard A. Knaak,3.74,441014224,9.78E+12,en-GB,297,59,4,7,25,2006,AceBooks
19819,Harrowing the Dragon,Patricia A. McKillip,3.94,441014437,9.78E+12,eng,308,1602,86,11,7,2006,AceBooks
22200,Count Zero (Sprawl  #2),William Gibson,4.01,441013678,9.78E+12,en-US,308,37360,799,3,7,2006,AceBooks
19823,Od Magic,Patricia A. McKillip,3.98,441013341,9.78E+12,eng,315,3140,265,6,6,2006,AceBooks
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78E+12,eng,331,97494,2359,7,15,1987,AceBooks
17866,Glasshouse,Charles Stross,3.87,441014038,9.78E+12,en-US,335,8975,464,6,27,2006,AceBooks
15496,Unicorn Point (Apprentice Adept #6),Piers Anthony,3.8,441845630,9.78E+12,eng,337,4820,27,1,1,1990,AceBooks
21618,Forever Peace (The Forever War  #2),Joe Haldeman,3.74,441005667,9.78E+12,eng,351,16338,422,10,1,1998,AceBooks
8087,Deerskin,Robin McKinley,3.89,441012396,9.78E+12,en-US,384,17485,1021,5,1,2005,AceBooks
16685,The Cat Who Walks Through Walls (The World As Myth),Robert A. Heinlein,3.7,441094996,9.78E+12,en-US,388,19427,572,6,1,1988,AceBooks
19820,Cygnet (Cygnet  #1-2),Patricia A. McKillip,4.07,441014836,9.78E+12,en-US,406,543,35,3,6,2007,AceBooks
17863,Accelerando,Charles Stross,3.88,441014151,9.78E+12,eng,415,16527,971,7,1,2006,AceBooks
40281,Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card,4.21,441011330,9.78E+12,eng,422,1202,79,3,2,2004,AceBooks
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9.78E+12,eng,423,2785,166,6,15,1987,AceBooks
40893,Madouc (Lyonesse  #3),Jack Vance,4.15,441505325,9.78E+12,eng,426,1825,71,8,1,1991,AceBooks
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9.78E+12,en-US,434,10293,193,6,1,1988,AceBooks
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9.78E+12,eng,436,38778,568,7,1,1987,AceBooks
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,9.78E+12,eng,471,45388,644,8,15,1987,AceBooks
29394,Cursor's Fury (Codex Alera  #3),Jim Butcher,4.36,441014348,9.78E+12,eng,442,50427,1053,12,5,2006,AceBooks
28468,Fantastic Alice,Margaret Weis,3.4,441002536,9.78E+12,eng,291,147,14,12,1,1995,AceBooks
24828,The Rosetta Codex,Richard Paul Russo,3.21,441013309,9.78E+12,en-US,384,22,2,12,6,2005,AceBooks
17216,Starship Troopers,Robert A. Heinlein,4.01,1568654308,9.78E+12,eng,205,172,20,8,1,1997,AceBooks
44224,Lincoln,Gore Vidal,4.21,8448306996,9.79E+12,spa,354,5,0,7,30,2006,AcentoEditorial
14670,Black on Red: My 44 Years Inside the Soviet Union: An Autobiography,Robert Robinson,4.33,874918855,9.78E+12,eng,436,80,14,12,31,1988,AcropolisBooks(NY)
11765,Americana,Don DeLillo,3.43,2868698220,9.78E+12,eng,454,3683,238,8,10,1993,ActesSud
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2742741461,9.78E+12,fre,1075,21,1,11,7,2002,ActesSud
24635,Rob Roy,Walter Scott,3.7,543899403,9.78E+12,eng,537,4,0,11,16,2000,AdamantMediaCorporation
10536,Sun Tzu: The Art of War for Managers; 50 Strategic Rules,Sun Tzu,3.8,1580624596,9.78E+12,eng,224,316,12,1,1,2001,AdamsMedia
18931,Please Stop Laughing at Me... One Woman's Inspirational Story,Jodee Blanco,3.85,1580628362,9.78E+12,en-US,288,9662,897,3,1,2003,AdamsMedia
26439,Absolute C++,Walter J. Savitch,3.83,321468937,9.78E+12,eng,943,36,4,3,1,2007,AddisonWesleyPublishingCompany
5545,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman,4.6,201500647,9.78E+12,en-US,3,78,7,1,1,1989,AddisonWesleyPublishingCompany
5358,The Firm,Robin Waterfield,4.01,582418275,9.78E+12,eng,76,540910,3378,2,15,2000,AddisonWesleyPublishingCompany
17280,The Feynman Lectures on Physics Vol 3,Richard P. Feynman,4.63,805390499,9.78E+12,eng,384,716,15,9,1,2005,AddisonWesleyPublishingCompany
5770,The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler,4.26,201061961,9.78E+12,eng,471,27,2,6,1,1989,AddisonWesleyPublishingCompany
27843,Data Structures and Algorithm Analysis in C++,Mark Allen Weiss,3.87,032144146X,9.78E+12,eng,586,155,8,2,1,2006,AddisonWesleyPublishingCompany
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,4.31,020161622X,9.78E+12,eng,321,12563,699,10,30,1999,AddisonWesleyPublishingCompany
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,4.05,201835959,9.78E+12,eng,322,9395,616,8,12,1995,AddisonWesleyPublishingCompany
44936,Refactoring: Improving the Design of Existing Code,Martin Fowler,4.24,201485672,9.78E+12,eng,431,6086,222,7,8,1999,AddisonWesleyPublishingCompany
27862,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,Robert Sedgewick,4.16,201314525,7.85E+11,en-GB,720,140,3,9,27,1997,AddisonWesleyPublishingCompany
22197,Zero Debt: The Ultimate Guide to Financial Freedom,Lynnette Khalfani,3.74,1932450750,9.78E+12,eng,204,49,10,8,1,2004,AdvantageWorldPress
498,Tesla Papers,Nikola Tesla,4.13,932813860,9.78E+12,eng,100,102,2,12,1,2000,AdventuresUnlimitedPress
22408,Invisible Residents: The Reality of Underwater UFOs,Ivan T. Sanderson,3.73,1931882207,9.78E+12,en-US,100,62,7,9,15,2005,AdventuresUnlimitedPress
13722,Cromartie High School  Vol. 01,Eiji Nonaka,4,141390257X,9.78E+12,eng,158,393,41,3,1,2005,ADVManga
13724,Cromartie High School  Vol. 02,Eiji Nonaka,4.19,1413902588,9.78E+12,eng,161,134,9,6,14,2005,ADVManga
43755,Azumanga Daioh  Vol. 3 (Azumanga Daioh  #3),Kiyohiko Azuma,4.38,1413900305,9.78E+12,eng,166,2144,19,2,17,2004,ADVManga
13720,Cromartie High School  Vol. 05,Eiji Nonaka,4.28,1413902618,9.78E+12,eng,168,63,2,3,21,2006,ADVManga
14091,Prétear  Vol. 3 (Prétear  #3),Junichi Satō,3.95,1413901468,7.03E+11,eng,172,326,10,10,12,2004,ADVManga
22861,Your and My Secret  Vol. 1,Ai Morinaga,3.54,1413901433,9.78E+12,eng,174,406,31,7,6,2004,ADVManga
22553,Gunslinger Girl  Vol. 1,Yu Aida,3.87,1413900208,9.78E+12,eng,175,911,42,12,29,2003,ADVManga
13719,Cromartie High School  Vol. 06,Eiji Nonaka,4.21,1413902626,9.78E+12,eng,176,61,4,6,6,2006,ADVManga
14089,Prétear  Vol. 4 (Prétear  #4),Junichi Satō,3.96,1413901476,9.78E+12,eng,180,294,14,1,18,2005,ADVManga
14092,Prétear  Vol. 2 (Prétear  #2),Junichi Satō,4,141390145X,9.78E+12,eng,182,347,17,8,24,2004,ADVManga
32827,From the Earth to the Moon (Extraordinary Voyages  #4),Jules Verne,3.78,1598184547,9.78E+12,eng,136,17325,421,10,1,2006,Aegypan
17185,The Invisible Man,H.G. Wells,3.64,812504674,9.78E+12,eng,178,313,39,9,15,1992,Aerie
4519,A Framework for Understanding Poverty,Ruby K. Payne,3.9,1929229488,9.78E+12,eng,199,3690,518,2,9,2006,AHA!Process
18843,Women and Writing,Virginia Woolf,4.07,156028069,9.78E+12,eng,216,244,13,3,31,2003,AHarvestBook/HarcourtInc.
36461,Proof of Concept,Larry Young,3,1932051295,9.78E+12,eng,134,6,1,1,18,2005,AITPlanetLar
40863,Youth in Revolt: The Journals of Nick Twisp : Volumes I  II  III/Youth in Revolt/Youth in Bondage/Youth in Exile,C.D. Payne,4.04,1882647009,9.78E+12,eng,503,29,6,8,1,1993,AiviaPress
22539,Hairstyles of the Damned,Joe Meno,3.72,188845170X,9.78E+12,eng,270,5298,468,9,1,2004,AkashicBooks/PunkPlanetBooks
2731,Advanced Global Illumination,Philip Dutre,4.5,1568813074,9.78E+12,eng,366,17,2,8,30,2006,AKPETERS
12618,On Anarchism,Noam Chomsky,3.93,1904859208,9.78E+12,eng,256,4145,192,5,1,2005,AKPress
12558,The Moon Lady,Amy Tan,3.97,689806167,9.78E+12,eng,32,1388,64,11,1,1995,AladdinPaperbacks
33614,The Fourth of July Story,Alice Dalgliesh,4.03,689718764,9.78E+12,eng,32,261,19,6,1,1995,AladdinPaperbacks
34153,Climb the Family Tree  Jesse Bear!,Nancy White Carlstrom,3.49,689807015,9.78E+12,en-US,32,63,9,7,1,2004,AladdinPaperbacks
34154,What a Scare  Jesse Bear,Nancy White Carlstrom,3.47,689851901,9.78E+12,en-US,32,104,21,3,21,2012,AladdinPaperbacks
40106,Beatrice's Goat,Page McBrier,4.25,689869908,9.78E+12,eng,40,546,113,7,1,2004,AladdinPaperbacks
37024,The Bears on Hemlock Mountain,Alice Dalgliesh,3.79,689716044,9.78E+12,eng,58,2164,147,10,31,1992,AladdinPaperbacks
37673,The Call of the Wild,Jack London,3.86,068981836X,9.78E+12,eng,128,188,16,10,1,1999,AladdinPaperbacks
37674,The Call of the Wild,Jack London,3.86,689856741,9.78E+12,eng,139,2210,157,2,1,2003,AladdinPaperbacks
35846,The Chocolate-Covered Contest (Nancy Drew  #151),Carolyn Keene,3.89,067103443X,9.78E+12,en-US,160,520,17,9,1,1999,AladdinPaperbacks
35848,Ghost Stories (Nancy Drew),Carolyn Keene,3.75,671691325,9.78E+12,eng,160,337,12,10,1,1989,AladdinPaperbacks
13860,The Wizard's Apprentice (The Keepers  #2),Jackie French Koller,3.8,689855923,9.78E+12,eng,175,353,20,12,1,2003,AladdinPaperbacks
17461,Misty of Chincoteague (Misty  #1),Marguerite Henry,4.05,1416927832,9.78E+12,eng,176,38024,907,12,26,2006,AladdinPaperbacks
27804,The Trumpeter of Krakow,Eric P. Kelly,3.76,689829922,9.78E+12,eng,224,54,13,6,1,1999,AladdinPaperbacks
26133,The Children's Homer: The Adventures of Odysseus and the Tale of Troy,Padraic Colum,3.9,689868839,9.78E+12,eng,256,109,15,7,1,2004,AladdinPaperbacks
41457,Hitty  Her First Hundred Years,Rachel Field,3.86,689822847,9.78E+12,eng,256,7097,292,9,1,1998,AladdinPaperbacks
28547,Dragonsinger (Harper Hall  #2),Anne McCaffrey,4.28,689860072,9.78E+12,eng,288,34996,586,4,1,2003,AladdinPaperbacks
7911,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,4.03,1416916172,9.78E+12,eng,352,22023,395,6,1,2006,AladdinPaperbacks
2937,Robinson Crusoe,Daniel Defoe,3.67,689844085,9.78E+12,eng,482,204,32,7,1,2001,AladdinPaperbacks
32975,Nancy Drew: Girl Detective: #1-4,Carolyn Keene,4.02,689036914,9.78E+12,eng,640,2167,30,10,1,2004,AladdinPaperbacks
35835,Dear Peter Rabbit,Alma Flor Ada,4.13,1416912339,9.78E+12,en-US,32,7,0,1,1,2006,AladdinPaperbacks
35958,Sagwa  the Chinese Siamese Cat,Amy Tan,4.03,689846177,9.78E+12,eng,40,995,57,9,1,2001,AladdinPaperbacks
19319,Lotta on Troublemaker Street,Astrid Lindgren,3.98,689846738,9.78E+12,eng,55,1429,24,10,1,2001,AladdinPaperbacks
41460,Voting Rights Days (Hitty's Travels  #3),Ellen Weiss,4.27,689849125,9.78E+12,eng,75,10,2,3,1,2002,AladdinPaperbacks
24126,Jennifer  Hecate  Macbeth  William McKinley  and Me  Elizabeth,E.L. Konigsburg,3.79,1416933964,9.78E+12,eng,128,54,11,2,27,2007,AladdinPaperbacks
34881,Star Bright (Star Power  #8),Catherine Hapka,3.67,068987670X,9.78E+12,eng,160,3,0,4,26,2005,AladdinPaperbacks
11308,Seaward,Susan Cooper,3.97,20421907,9.78E+12,eng,167,1756,72,4,30,1987,AladdinPaperbacks
28541,Dragonsong (Harper Hall  #1),Anne McCaffrey,4.24,141692499X,9.78E+12,eng,192,40324,1001,6,1,2006,AladdinPaperbacks
11311,The Boggart,Susan Cooper,3.75,1416905278,9.78E+12,eng,196,4085,181,5,31,2005,AladdinPaperbacks
13654,Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,3.94,689845332,9.78E+12,eng,281,1269,93,9,1,2001,AladdinPaperbacks
11831,Dicey's Song (Tillerman Cycle  #2),Cynthia Voigt,3.96,689863624,9.78E+12,eng,359,16021,594,7,1,2003,AladdinPaperbacks
43049,The Sea Wolf,Jack London,4.04,1598184318,9.78E+12,eng,425,19091,851,6,1,2005,AlanRodgersBooks
8771,When I Feel Angry,Nancy Cote,3.98,807588970,9.78E+12,eng,24,113,4,1,1,2000,AlbertWhitmanCompany
9479,The Midnight Mystery (The Boxcar Children  #95),Gertrude Chandler Warner,3.9,080755538X,9.78E+12,eng,128,312,9,1,1,2003,AlbertWhitmanCompany
4314,Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,3.82,2226126260,9.78E+12,fre,85,975,62,6,13,2001,AlbinMichel
8750,L'Aube du désert,Waris Dirie,3.83,2226135510,9.78E+12,fre,288,1,0,11,1,2002,AlbinMichel
43063,Menace Invisible (Admiral Arnold Morgan  #3),Patrick Robinson,4.01,2226114971,9.78E+12,fre,384,3,0,3,1,2000,AlbinMichel
11519,Les Fils des ténèbres,Dan Simmons,3.71,2226074740,9.78E+12,fre,464,6,0,10,1,1994,AlbinMichel
11570,Dreamcatcher,Stephen King,3.63,2226131906,9.78E+12,fre,688,136312,1617,3,1,2002,AlbinMichel
8964,Jesus Freaks: Stories of Those Who Stood for Jesus  the Ultimate Jesus Freaks (Jesus Freaks  #1),D.C. Talk,4.21,1577780728,9.78E+12,eng,383,19217,271,1,15,1999,AlburyPublishing
3053,Alcoholics Anonymous,Alcoholics Anonymous,4.45,916856593,9.78E+12,eng,250,22,0,8,1,1993,AlcoholicsAnonymousWorldServicesInc
25810,Legend of the Five Rings RPG,Rich Wulf,3.78,1594720355,9.78E+12,eng,318,169,6,6,6,2005,AlderacEntertainmentGroup
24188,Secrets of the Scorpion,Jed Carleton,3.68,1887953795,9.78E+12,eng,96,44,0,4,1,2003,AlderacEntertainmentGroup(AEG)
25623,Amarse con los ojos abiertos,Jorge Bucay,3.73,8479019395,9.79E+12,spa,237,1425,59,3,1,2004,Alfaguara
8373,El Reino Animal,Sergio Ramírez,3.69,9707705736,9.79E+12,spa,256,16,4,7,1,2006,Alfaguara
2543,Las intermitencias de la muerte,José Saramago,4,9587043642,9.79E+12,spa,274,2862,306,12,1,2005,Alfaguara
11695,La Vida Nueva,Orhan Pamuk,3.56,9707707763,9.79E+12,spa,282,7,0,10,1,2006,Alfaguara
11027,No me cogeréis vivo: artículos 2001-2005,Arturo Pérez-Reverte,4.16,8420469432,9.79E+12,spa,537,199,5,11,10,2005,Alfaguara
45568,El Superzorro,Roald Dahl,4.05,9681907191,9.79E+12,spa,96,174,20,6,1,2000,AlfaguaraInfantil
40187,Confessions of a French Baker: Breadmaking Secrets  Tips  and Recipes,Peter Mayle,3.64,140004474X,9.78E+12,en-US,91,405,52,10,25,2005,AlfredA.Knopf
6689,James and the Giant Peach,Roald Dahl,4.01,375814248,9.78E+12,eng,146,328542,4733,9,10,2002,AlfredA.Knopf
45313,After the Quake,Haruki Murakami,3.78,375413901,9.78E+12,eng,182,564,84,8,13,2002,AlfredA.Knopf
23228,Boy Meets Boy,David Levithan,3.84,375832998,9.78E+12,eng,185,59799,3373,5,10,2005,AlfredA.Knopf
3657,The Sea,John Banville,3.51,307263118,9.78E+12,eng,195,586,103,12,7,2005,AlfredA.Knopf
45316,Sputnik Sweetheart,Haruki Murakami,3.83,375411690,9.78E+12,eng,210,582,92,4,24,2001,AlfredA.Knopf
22095,Binary,John Lange,3.53,394479874,9.78E+12,eng,213,94,10,12,31,1972,AlfredA.Knopf
23227,Are We There Yet?,David Levithan,3.49,037582846X,9.78E+12,eng,215,3089,281,7,12,2005,AlfredA.Knopf
1547,The Theban Plays (Everyman's Library  #93),Sophocles,3.97,679431322,9.78E+12,en-US,223,52,3,10,18,1994,AlfredA.Knopf
11340,Jazz,Toni Morrison,3.81,679411674,9.78E+12,eng,229,428,54,4,7,1992,AlfredA.Knopf
16670,A Madman Dreams of Turing Machines,Janna Levin,3.68,1400040302,9.78E+12,eng,230,1136,180,8,22,2006,AlfredA.Knopf
6288,The Road,Cormac McCarthy,3.97,307265439,9.78E+12,eng,241,606433,34301,9,26,2006,AlfredA.Knopf
18826,House of Meetings,Martin Amis,3.41,1400044553,9.78E+12,eng,241,1917,206,1,16,2007,AlfredA.Knopf
39526,Boeing Versus Airbus: The Inside Story of the Greatest International Competition in Business,John Newhouse,3.63,1400043360,9.78E+12,eng,254,247,28,1,16,2007,AlfredA.Knopf
40215,Theft: A Love Story,Peter Carey,3.43,307263711,9.78E+12,eng,269,2561,277,5,9,2006,AlfredA.Knopf
698,Digging to America,Anne Tyler,3.55,307263940,9.78E+12,eng,277,17155,1841,5,2,2006,AlfredA.Knopf
11482,Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,Paul Hendrickson,4.07,394577299,9.78E+12,eng,297,14,3,4,21,1992,AlfredA.Knopf
13060,Nature Girl,Carl Hiaasen,3.63,307262995,9.78E+12,eng,306,19245,1533,11,14,2006,AlfredA.Knopf
9833,Blind Willow  Sleeping Woman,Haruki Murakami,3.84,1400044618,9.78E+12,eng,333,22847,1280,8,29,2006,AlfredA.Knopf
14282,Runaway,Alice Munro,3.98,140004281X,9.78E+12,eng,335,633,115,10,28,2004,AlfredA.Knopf
12203,Frost,Thomas Bernhard,3.88,1400040663,9.78E+12,eng,342,731,69,10,17,2006,AlfredA.Knopf
9815,The View from Castle Rock,Alice Munro,3.68,1400042828,9.78E+12,eng,349,3459,423,11,7,2006,AlfredA.Knopf
45118,The Devil's Feather,Minette Walters,3.63,307264629,9.78E+12,eng,349,2343,153,8,22,2006,AlfredA.Knopf
13929,Wildwood Dancing (Wildwood  #1),Juliet Marillier,4.09,375833641,9.78E+12,eng,407,24751,2219,1,23,2007,AlfredA.Knopf
