book_id,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12,id,best_book_id1,work_id1,books_count1,isbn1,isbn131,authors1,original_publication_year,original_title1,title1,language_code1,average_rating1,ratings_count1,work_ratings_count1,work_text_reviews_count1,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url1,small_image_url,tag_name,toread_count,currently_reading
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9.78E+12,eng,6,1266,253,3/23/2005,Random House Audio,,,,,,,,,,,,,,,,,,,,,,,,,,
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9.78E+12,eng,815,2877,195,1/17/1996,Wings Books,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78E+12,eng,544,248558,9396,9/14/2004,Broadway Books,,374.0,21.0,2305997.0,155.0,076790818X,9780000000000.0,Bill Bryson,2003.0,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US,4.19,191535.0,206367.0,9065.0,3514.0,7196.0,29992.0,71534.0,94131.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, currentlyreading, history, nonfiction, favorites, science, owned, audiobook, audiobooks, humor, booksiown, tobuy, toreadnonfiction, default, popularscience, physics, kindle, library, audio, ownedbooks",427.0,12685.0
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78E+12,eng,55,7270,499,12/3/2002,Broadway Books,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9.78E+12,eng,256,2088,131,9/14/2004,Broadway Books,,,,,,,,,,,,,,,,,,,,,,,,,,
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78E+12,eng,335,72451,4245,5/15/2001,Broadway Books,,1460.0,24.0,2611786.0,76.0,767903862,9780000000000.0,Bill Bryson,2000.0,Down Under,In a Sunburned Country,eng,4.05,58688.0,66668.0,4455.0,607.0,2214.0,12998.0,28184.0,22665.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"nonfiction, travel, currentlyreading, toread, humor, australia, favorites, memoir, audiobook, humour, audiobooks, owned, audio, history, billbryson, memoirs, booksiown, bookclub, travelwriting, adventure",431.0,1558.0
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78E+12,eng,304,49240,2211,6/28/2000,Broadway Books,,1976.0,25.0,3419048.0,69.0,076790382X,9780000000000.0,Bill Bryson,1998.0,Notes from a Big Country,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,en-US,3.89,44610.0,49430.0,2335.0,601.0,2332.0,12624.0,20065.0,13808.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, nonfiction, humor, memoir, essays, biography, owned, memoirs, audiobook, travel, currentlyreading, audiobooks, funny, america, humour, travelwriting, comedy, autobiography, ebook, library",484.0,91.0
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78E+12,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,,2321.0,26.0,1888943.0,47.0,60920084,9780000000000.0,Bill Bryson,1989.0,The Lost Continent: Travels in Small-Town America,The Lost Continent: Travels in Small Town America,en-US,3.83,40254.0,42202.0,2119.0,1100.0,2653.0,10395.0,16124.0,11930.0,https://images.gr-assets.com/books/1404042682m/26.jpg,https://images.gr-assets.com/books/1404042682s/26.jpg,"toread, travel, nonfiction, currentlyreading, humor, memoir, humour, favorites, owned, billbryson, travelwriting, booksiown, memoirs, america, biography, readin, bookclub, funny, audiobooks, essays",447.0,709.0
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9.78E+12,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,,2279.0,27.0,3164459.0,57.0,380713802,9780000000000.0,Bill Bryson,1991.0,Neither Here Nor There: Travels in Europe,Neither Here nor There: Travels in Europe,en-US,3.88,42170.0,45390.0,2168.0,874.0,2545.0,11191.0,17477.0,13303.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, travel, nonfiction, currentlyreading, humor, memoir, humour, favorites, europe, owned, billbryson, travelwriting, booksiown, biography, audiobook, memoirs, readin, funny, comedy, kindle",438.0,838.0
28,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,,1449.0,28.0,940892.0,63.0,380727501,9780000000000.0,Bill Bryson,1995.0,Notes from a Small Island,Notes from a Small Island,eng,3.91,66947.0,72421.0,3323.0,1073.0,3717.0,17241.0,29024.0,21366.0,https://images.gr-assets.com/books/1479653223m/28.jpg,https://images.gr-assets.com/books/1479653223s/28.jpg,"toread, nonfiction, travel, currentlyreading, humor, memoir, humour, favorites, england, owned, booksiown, travelwriting, billbryson, biography, audiobook, memoirs, audiobooks, funny, britain, kindle",1148.0,1916.0
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9.78E+12,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,,4079.0,29.0,2170063.0,28.0,380715430,9780000000000.0,Bill Bryson,1990.0,The Mother Tongue: English and How It Got That Way,The Mother Tongue: English and How It Got That Way,en-US,3.95,24133.0,26951.0,1993.0,333.0,1280.0,6050.0,10985.0,8303.0,https://images.gr-assets.com/books/1388209925m/29.jpg,https://images.gr-assets.com/books/1388209925s/29.jpg,"toread, currentlyreading, nonfiction, humor, history, language, toreadnonfiction, kindle, audiobooks, linguistics, owned, ebook, nonfic, billbryson, audiobook, favorites, readin, historical, proposedreadingprogram, adult",348.0,867.0
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,,964.0,30.0,89369.0,74.0,345538374,9780000000000.0,J.R.R. Tolkien,1973.0,The Hobbit and The Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,eng,4.59,90907.0,94348.0,1565.0,826.0,1281.0,5819.0,19982.0,66440.0,https://images.gr-assets.com/books/1346072396m/30.jpg,https://images.gr-assets.com/books/1346072396s/30.jpg,"toread, fiction, scififantasy, classic, fantasy, series, adventure, epicfantasy, jrrtolkien, fantasyscifi, youngadult, highfantasy, classics, alltimefavorites, magic, lordoftherings, epic, mylibrary, default, tobuy",801.0,22.0
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9.78E+12,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,,,,,,,,,,,,,,,,,,,,,,,,,,
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78E+12,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,,19.0,34.0,3204327.0,566.0,618346252,9780000000000.0,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803.0,1832541.0,15333.0,38031.0,55862.0,202332.0,493922.0,1042394.0,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,"fantasy, toread, classics, fiction, booksiown, classic, adventure, currentlyreading, series, scififantasy, tolkien, favourites, epicfantasy, highfantasy, ownedbooks, favorites, reread, youngadult, magic, default",450.0,1457.0
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9.78E+12,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,,,,,,,,,,,,,,,,,,,,,,,,,,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78E+12,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,,4229.0,36.0,4414.0,12.0,618391002,9780000000000.0,"Chris   Smith, Christopher Lee, Richard Taylor",,The Lord of the Rings: Weapons and Warfare,The Lord of the Rings: Weapons and Warfare,eng,4.53,18788.0,18911.0,49.0,297.0,282.0,1556.0,3743.0,13033.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, fantasy, tolkien, nonfiction, art, owned, currentlyreading, booksiown, fiction, middleearth, favorites, lordoftherings, movies, reference, lotr, film, artbooks, mybooks, tolkienrelated, adult",1211.0,16.0
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78E+12,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78E+12,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9.78E+12,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,,388.0,50.0,1158125.0,93.0,689840926,9780000000000.0,Gary Paulsen,1986.0,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,222553.0,231963.0,10378.0,12070.0,22390.0,59179.0,73180.0,65144.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"currentlyreading, youngadult, fiction, childrens, adventure, favorites, toread, classics, ya, survival, realisticfiction, school, childhood, childrensbooks, children, middlegrade, booksiown, kids, readforschool, owned",269.0,2212.0
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,9.78E+12,eng,48,36,2,8/28/1994,Teacher Created Resources,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9.78E+12,eng,144,2067,334,1/23/2001,Delacorte Press,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78E+12,eng,56,6,0,6/10/2003,Cherry Lane Music Company,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.78E+12,en-US,228,99,16,11/1/2005,The New Press,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.78E+12,eng,304,167,4,11/1/2005,Changeling Press,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78E+12,eng,256,978,111,8/17/2006,Viking Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78E+12,eng,137,4454,302,4/14/2003,Firebird,,,,,,,,,,,,,,,,,,,,,,,,,,
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.78E+12,eng,228,1176,96,6/8/2004,iUniverse,,,,,,,,,,,,,,,,,,,,,,,,,,
63,The Changeling,Kate Horsley,3.55,1590301943,9.78E+12,eng,339,301,43,4/12/2005,Shambhala,,,,,,,,,,,,,,,,,,,,,,,,,,
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78E+12,eng,369,345,12,8/28/1990,Ivy Books,,,,,,,,,,,,,,,,,,,,,,,,,,
67,The Known World,Edward P. Jones,3.83,61159174,9.78E+12,eng,388,29686,2626,8/29/2006,Amistad,,3504.0,67.0,1062798.0,42.0,61159174,9780000000000.0,Edward P. Jones,2003.0,The Known World,The Known World,eng,3.82,26550.0,29459.0,2825.0,831.0,2186.0,6907.0,11005.0,8530.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, currentlyreading, historicalfiction, pulitzer, bookclub, fiction, favorites, pulitzerprize, africanamerican, booksiown, owned, slavery, historical, history, literature, pulitzerprizewinners, literaryfiction, novels, pulitzerwinners, pulitzers",1352.0,824.0
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78E+12,en-US,14,55,12,6/15/2004,HarperAudio,,,,,,,,,,,,,,,,,,,,,,,,,,
69,The Known World,Edward P. Jones,3.83,60749911,9.78E+12,eng,576,22,3,6/15/2004,Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78E+12,eng,334,1456,82,5/15/2006,FT Press,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78E+12,eng,352,52,4,12/14/2005,Archaia,,,,,,,,,,,,,,,,,,,,,,,,,,
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9.78E+12,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78E+12,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Heirs of General Practice,John McPhee,4.17,374519749,9.78E+12,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
77,The Control of Nature,John McPhee,4.24,374522596,9.78E+12,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Annals of the Former World,John McPhee,4.34,374518734,9.78E+12,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Coming Into the Country,John McPhee,4.22,374522871,9.78E+12,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9.78E+12,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Giving Good Weight,John McPhee,4.23,374516006,9.78E+12,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Rising from the Plains,John McPhee,4.23,374520658,9.78E+12,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,,,,,,,,,,,,,,,,,,,,,,,,,,
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78E+12,eng,81,1423,70,3/1/2002,Dramatists Play Service,,,,,,,,,,,,,,,,,,,,,,,,,,
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78E+12,eng,249,2766,64,7/2/1991,Vintage,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.78E+12,eng,138,31,1,3/29/2006,Routledge,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78E+12,en-US,128,62,4,3/14/2006,North Light Books,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9.78E+12,eng,192,860,53,9/1/2003,Chosen Books,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78E+12,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78E+12,eng,352,153317,2257,11/15/2002,Kingfisher,,639.0,93.0,1738595.0,771.0,753454947,9780000000000.0,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880.0,Heidi,Heidi,eng,3.97,144497.0,154669.0,2667.0,2236.0,8362.0,37291.0,50838.0,55942.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, classics, childrens, fiction, currentlyreading, children, favorites, childrensbooks, classic, childhood, booksiown, youngadult, owned, kids, historicalfiction, childhoodfavorites, childrensliterature, favourites, childrenslit, childrensclassics",439.0,819.0
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78E+12,eng,192,55,5,11/15/2004,ASCD,,,,,,,,,,,,,,,,,,,,,,,,,,
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78E+12,eng,192,34,6,4/28/2003,Sovereign World,,,,,,,,,,,,,,,,,,,,,,,,,,
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78E+12,eng,832,11797,659,10/16/2003,Workman Publishing Company,,7683.0,98.0,4462.0,45.0,761129588,9780000000000.0,"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",1989.0,What to Expect the First Year,What to Expect the First Year (What to Expect),eng,3.86,10807.0,13247.0,784.0,359.0,816.0,3301.0,4586.0,4185.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, currentlyreading, parenting, nonfiction, baby, reference, owned, booksiown, readin, health, family, babies, babybooks, default, parentingbooks, pregnancy, pregnancyandparenting, pregnancyparenting, childcare, motherhood",495.0,606.0
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78E+12,eng,123,34,8,5/10/2004,One Hour Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78E+12,en-US,128,78,4,8/19/2004,North Light Books,,,,,,,,,,,,,,,,,,,,,,,,,,
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9.78E+12,eng,423,2785,166,6/15/1987,Ace Books,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9.78E+12,eng,436,38778,568,7/1/1987,Ace Books,,2817.0,105.0,3634569.0,72.0,441102670,9780000000000.0,Frank Herbert,1985.0,Chapterhouse: Dune,Chapterhouse: Dune (Dune Chronicles #6),eng,3.89,34822.0,37155.0,552.0,676.0,2612.0,9170.0,12496.0,12201.0,https://images.gr-assets.com/books/1260954505m/105.jpg,https://images.gr-assets.com/books/1260954505s/105.jpg,"sciencefiction, scifi, fiction, currentlyreading, dune, owned, fantasy, scififantasy, default, sf, favorites, frankherbert, series, classics, booksiown, spaceopera, toread, ebooks, fantasyscifi, library",513.0,352.0
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78E+12,eng,331,97494,2359,7/15/1987,Ace Books,,1105.0,106.0,3634570.0,140.0,441172695,9780000000000.0,Frank Herbert,1969.0,Dune Messiah ,Dune Messiah (Dune Chronicles #2),eng,3.86,82580.0,90432.0,2283.0,1026.0,5333.0,23541.0,36242.0,24290.0,https://images.gr-assets.com/books/1392528394m/106.jpg,https://images.gr-assets.com/books/1392528394s/106.jpg,"fiction, sciencefiction, fantasy, scifi, owned, scififantasy, dune, favorites, sf, default, series, classics, booksiown, fantasyscifi, spaceopera, frankherbert, library, audiobook, sciencefictionfantasy, science",1051.0,29.0
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9.78E+12,en-US,592,784,21,7/1/2004,Tor Books,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,9.78E+12,eng,480,272,20,4/16/1984,Putnam,,,,,,,,,,,,,,,,,,,,,,,,,,
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9.78E+12,eng,426,4789,83,8/29/2006,Tor Science Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,
